# Index in ordered adult secret library|semantic aim|personal meaning
68|unburdened rest|Another person's easy rest exposes how much private permission seems necessary before stopping.
69|repetitive comfort|A familiar small task lets the hands remain useful while the mind no longer has to make every choice afresh.
70|changed memory place|The present place interrupts a cherished recollection instead of simply helping to recover it.
71|careful reconciliation|An apology might offer relief to its maker while requiring the other person to revisit an unwanted pain.
72|particular company|Being surrounded by people can sharpen loneliness when none of the exchanges reach what feels personally important.
73|station independent pleasure|The activity's modest social standing has little bearing on the satisfaction it provides in practice.
74|private earlier identity|The old nickname preserves a way of being known that public titles do not carry.
75|unwanted resemblance|A disliked person's habits are more troubling when a recognizable version appears in one's own conduct.
76|unspoken hope|Keeping the hope private protects it from encouragement that might turn it into an obligation.
77|better listening|A simple reminder is useful because the wish to answer often arrives before understanding is complete.
78|animal trust importance|An animal's voluntary ease can feel unexpectedly significant beside more elaborate human assurances.
79|ordinary permission|An ordinary preference can feel difficult to claim when others expect every choice to be distinguished.
80|equal regard|Criticism still treats its recipient as capable, while pity can feel like a reduction in standing as a person.
81|kept promises|Small promises are easier to make than to keep available in memory alongside larger obligations.
82|plain speech wanted|Careful phrasing can become tiring when the actual meaning remains modest and direct.
83|understood failure|Returning to the mistake offers a chance to separate its real cause from the first humiliating explanation.
84|shared responsibility|Competent help can be a relief rather than a challenge to personal importance.
85|family custom boundaries|A familiar practice can carry genuine affection and still be something personally disliked.
86|modest favorite|An inexpensive object is easy to replace materially and difficult to replace as the one habitually chosen.
87|wanted beyond usefulness|A dependable role may conceal uncertainty about whether company would still be welcome without its services.
88|children solving problems|A child's unexpected practical answer makes familiar assumptions briefly visible and amusing.
89|handwritten remembrance|The handwriting holds the absent person's presence alongside the practical instructions.
90|private success|A life without an audience is attractive partly because its pleasures would need fewer explanations.
91|acknowledged envy|The shame concerns a small uncharitable reaction toward somebody whose advantage may have been deserved.
92|opponent respected|One serious disagreement does not remove every quality that can be admired in the other person.
93|embodied memory|A small old mark can call up the feeling of an earlier period without needing a heroic story attached.
94|household ease|Shared laughter would suggest a kind of comfort that practical order alone cannot produce.
95|unfinished distant gift|Finishing the object would also bring the question of sending it closer to a decision.
96|deliberate kindness|Having to choose kindness consciously can feel less flattering than an image of effortless warmth.
97|practiced language|Rehearsal protects a sincere attempt to communicate from the fear of being judged only for its mistakes.
98|chosen solitude|A solitary walk offers an immediate pleasure that a prestigious invitation cannot guarantee.
99|necessary sacrifice|An admired sacrifice becomes harder to understand if a less painful route may have been available.
100|rare praise|The compliment carries weight because the speaker did not seem inclined to offer it merely to be agreeable.
101|novice freedom|Beginning again would permit questions and imperfect attempts that established competence can make embarrassing.
102|overlooked place care|A neglected place can seem worth attention precisely because nobody is competing to be associated with it.
103|dream curiosity|Recording a dream preserves its strange private logic without requiring belief that it predicts anything.
104|accepted true self|Affection for an inaccurate image can make maintaining the relationship feel like maintaining a performance.
105|honest awkwardness|An imperfect sincere exchange offers less uncertainty about what is being attempted.
106|authority freedom|Authority gives choices while also making more ordinary behavior consequential to other people.
107|uncomfortable praise|A compliment creates uncertainty about how much agreement sounds vain and how much refusal sounds ungracious.
108|earned independence keepsake|The object recalls the first concrete proof that an effort could produce a personally chosen result.
109|wanted beyond usefulness|Being necessary supplies a clear place in a relationship but may conceal the absence of uncomplicated affection.
110|personal language|Learning can be motivated by a particular desired closeness rather than trade, prestige, or public service.
111|private fear proportion|A personally frightening possibility may receive more weight in judgment than the available evidence warrants.
112|quiet useful pleasure|An undemanding chore provides a legitimate reason for a little uninterrupted time.
113|imagined home|The drawing makes an unspoken preference for space, privacy, or company easier to see.
114|patience and choice|Waiting can look wise while quietly postponing the responsibility of choosing.
115|effort noticed|Recognition from a friend would matter because it would show attention to the ordinary work behind the visible result.
116|received apology regretted|A defensive response may have punished the other person at the moment they were attempting repair.
117|animal routine comfort|A familiar creature's ordinary habits give a difficult day a few dependable recognizable moments.
118|changed reconciliation|Renewed affection would be welcome only if the conditions that caused the strain are allowed to change too.
119|permitted peace|Enjoyment can feel disloyal to unresolved hardship even when refusing the pleasure would help nobody.
120|ordinary delight|Keeping a record protects small pleasures from being crowded out by louder responsibilities.
121|grievance identity|Letting go might require discovering what remains when an old opposition no longer organizes attention.
122|reciprocal learning|A person expected to receive instruction can still notice something the instructor has missed.
123|unheroic story|An ending of modest survival or ordinary contentment can feel more convincing than another triumph.
124|useful recognition|A practical opportunity or accurate acknowledgment can matter more than the ceremony of an honor.
125|fatigue heard|Being asked about weariness would make limits discussable without first having to fail at something.
126|progress keepsake|The old tool makes gradual improvement visible against an earlier awkward beginning.
127|chosen future|A well-prepared future can still feel alien if the preferences behind it were mostly other people's.
128|correctable judgment|The admission is easier to approach when its first plain sentence has already been found.
129|possible forgiveness|Another person's capacity to release a grievance exposes a freedom that resentment has not yet allowed.
130|safe private pleasure|Ridicule would injure the sincere pleasure of the pursuit more than its practical standing.
131|remembered meal|A simple taste can recall comfort without requiring every part of the earlier life to have been good.
132|changed attachment|The letters preserve what was once real without obliging the present relationship to remain the same.
133|respectful attention|Contempt can become a habit that stops an unfamiliar person from being heard at all.
134|kind surprise|An unprompted thoughtful gesture would suggest being held in somebody else's attention without managing it.
135|clear purpose remembered|A difficult time can be missed for its clarity without wishing its actual suffering to return.
136|unwitnessed experiment|Privacy allows an uncertain attempt to fail without first becoming an announced project.
137|appearance judgment|A quick impression can become embarrassing when later conduct reveals how little it explained.
138|trusted uncertainty|Admitting doubt should not automatically erase confidence in every other part of one's judgment.
139|unromantic duty|A responsibility can be accepted seriously while parts of carrying it out remain simply dull.
140|remembered refusal|The first successful boundary remains important because unfair treatment stopped seeming inevitable at that moment.
141|possible journey|A modest reserve makes an imagined departure feel a little more like an available choice.
142|rest and grief|Constant activity can keep a difficult feeling distant without resolving it.
143|admiring envy|Warmth toward a friend's success and a private wish for the same good fortune can exist together.
144|useless beauty|Making something solely because it is pleasing would reclaim effort from constant practical justification.
145|examined obedience|Continued compliance can reflect circumstances or loyalty without implying complete inward agreement.
146|ordinary stories|Familiar lives offer particular conflicts and pleasures without needing to be disguised as heroic adventures.
147|aging animal attachment|An older animal's continued trust makes care feel like part of an enduring relationship rather than a transaction.
148|humor preserved|Losing the ability to find ordinary absurdity amusing would make a difficult life feel narrower.
149|honest intimate company|One candid companion can provide more reassurance than many agreeable responses from an audience.
150|adult comfort|Growing older does not remove the wish to be received briefly without having to be the capable one.
151|noticed growth|Small improvements become easier to value when they are recorded before they disappear into a new normal.
152|approachable standards|A demand for good work could unintentionally make an honest beginning feel unsafe.
153|responsible forgiveness|Forgiveness would feel more substantial if it acknowledged the wrong rather than pretending there was none.
154|familiar imperfect pleasure|The flaw belongs to a recognizable performance and can become part of what makes it cherished.
155|overlooked influence|A person with little public consequence can still have changed one private life through a particular exchange.
156|revisable ambition|Continuing an ambition may now consume more than the imagined result still seems worth.
157|private room|A place without reminders of obligation permits attention to settle on something freely chosen.
158|uncomplicated pleasure|Pleasure is wanted without the attached work of defending, concealing, or explaining why it is allowed.
159|chosen self|A preference is harder to hear when attention has long been organized around answering other people's needs.
