# Original adult value index|semantic aim|personal meaning
44|clean water|A source used by many households cannot be kept dependable through indifference at each individual doorstep.
45|clear agreements|The obligations should be comprehensible before an advantage is taken from the other party's confusion.
46|ended grievance|A child should not be assigned a lifelong enemy merely to keep an older quarrel supplied with successors.
47|specific feedback|A sincere attempt deserves an answer precise enough to help the next one improve.
48|elder dignity|An older person's slower pace should not erase the claim to a say in a shared day.
49|improved custom|Keeping a useful habit does not require preserving every inconvenience that happened to grow around it.
50|practical results|An impressive explanation should eventually meet the ordinary test of what the work actually accomplishes.
51|unguarded affection|Closeness should allow a dull or difficult day without requiring fresh proof of being worth the company.
52|purposeful punishment|A punishment without a clear purpose can become a display whose cost is borne by someone already powerless.
53|understood animal fear|An animal's reaction becomes more manageable when its cause is considered instead of simply resented.
54|unranked judgment|A useful observation does not become less accurate because its speaker lacks an important title.
55|uncoerced hospitality|A guest should be able to decline a dish, invitation, or diversion without the host making it a personal contest.
56|clear boundaries|An early limit is often kinder and easier to meet than a later accusation built from unspoken resentment.
57|practical faith|A declared devotion ought to be recognizable in ordinary conduct beyond the words used to describe it.
58|supported accusation|A public claim can damage a life before its audience discovers how little the speaker actually knows.
59|returned trust|A borrowed object carries the practical trust of the person who expects to use it again.
60|possible change|A person can take a different direction while still acknowledging where the earlier one led.
61|secure means|Wealth is more reassuring when it can withstand a poor season than when it only produces an impressive evening.
62|mutual candor|Partners need room to disagree privately without the relationship itself becoming the threatened consequence.
63|uncoerced promises|A promise extracted under pressure does not reveal the same choice as a commitment made freely.
64|capable successors|Good teaching should eventually produce judgment that can go beyond what the teacher originally supplied.
65|need before display|An unnecessary waste becomes harder to excuse when the unmet practical need is already visible.
66|shared meal|A meal can provide a temporary common ground without requiring either person to declare the whole quarrel settled.
67|unassumed consent|Quiet may mean hesitation, weariness, or caution rather than a considered agreement.
68|welcomed questions|A better question should improve a lesson rather than threaten the teacher's place within it.
69|personal making|Something made within the home gives the place a particular history that purchased display cannot supply.
70|earned craft|Affection for the work is a reason to practice carefully, not a substitute for learning how to do it well.
71|gracious rivalry|A rival's genuine excellence remains worth recognizing even when the comparison is privately uncomfortable.
72|renewed loyalty|A servant's continued loyalty depends on how the relationship is lived, not merely on how long it has existed.
73|individual grief|Different ways of mourning can carry equal attachment without looking alike to an observer.
74|explained authority|A hard choice is easier to live with when the people bearing it can understand why it was made.
75|practical remembrance|Tending what remains can honor someone through use and care rather than a repeated formal statement.
76|adult accountability|A child learns something useful when an adult admits a mistake without pretending that authority has vanished.
77|individual judgment|A stranger should have some chance to be encountered as a person before a category decides the whole assessment.
78|unclaimed time|A private interval should not become available to anyone merely because no visible appointment occupies it.
79|uncruel humor|A helpless target's forced smile is poor evidence that the joke has been enjoyable company.
80|reliable care|Repeated modest attention is more useful to someone depending on it than a rare dramatic gesture.
81|purposeful candor|An unwelcome truth should be spoken to clarify or help, not simply to enjoy the listener's discomfort.
82|equal privacy|A poor household does not lose its claim to private space because its belongings are less impressive.
83|ordinary peace|A peaceful day can contain ends worth enjoying in themselves instead of only preparation for the next struggle.
84|playful art|An artistic effort can be valuable because it gives pleasure rather than because it makes a solemn claim.
85|household foresight|A lean season is easier to meet when preparation begins before scarcity has made every choice urgent.
86|measured consequences|Immediate anger is an unreliable guide to a consequence another person may have to live with for years.
87|accurate witness|A direct observation should remain distinguishable from the explanation later heard from somebody else.
88|unconditional kindness|A small humane act need not wait until the recipient shares every important opinion.
89|room for beginners|An awkward first attempt is the ordinary beginning of a skill rather than evidence that the person should stop.
90|ordinary work remembered|A community's daily continuity rests on more people than its formal celebrations usually name.
91|clear favors|An unstated expectation can turn a welcome favor into a resentment neither person was prepared to negotiate.
92|clear-eyed affection|Affection can remain real while acknowledging a loved person's poor judgment in a particular matter.
93|maintained responsibility|A damaged neglected tool can reveal how easily a modest recurring obligation has been allowed to slide.
94|dignified departure|Leaving bad service should not require accepting lifelong disgrace as its price.
95|revisable reputation|A person's current conduct deserves some power to change a judgment formed from an earlier account.
96|defeated dignity|Victory offers enough advantage without making humiliation an additional deliberate reward.
97|meaningful inheritance|An heirloom can preserve a relationship or familiar use that its sale price cannot describe.
98|patient answers|A repeated question may be the child's effort to understand, not a calculated attempt to exhaust an adult.
99|informed planning|The person doing the work often knows which apparently small requirement will determine whether the plan succeeds.
100|personal commitments|A private promise should not become the first thing abandoned whenever a more visible demand appears.
101|quiet usefulness|A life can leave valuable results without those results becoming attached to a celebrated name.
102|local knowledge|Familiarity with a place can answer a practical question that more prestigious general knowledge misses.
103|attentive hospitality|A host's care includes noticing the guest who is too polite to explain what is making the visit difficult.
104|recoverable mistakes|A mistake can call for repair without becoming the only fact through which every later action is interpreted.
105|revisable caution|Caution is more useful when it changes with the evidence rather than preserving the first alarming possibility forever.
106|ordinary courtesy|Money can obtain many conveniences without making discourtesy less tiresome for the person receiving it.
107|practical trust|Doing something manageable together can give a strained relationship evidence beyond another earnest conversation.
108|living choices|Respect for the dead need not give every past preference permanent authority over the living household.
109|quiet observation|The best practical detail may come from the person who has spent more time watching than announcing a position.
110|teachable pride|Pride in good work should keep standards demanding without making correction impossible to hear.
111|shared celebration|An occasion's workers should receive some of its pleasure instead of only the extra labor it creates.
112|safe refusal|A friendship becomes easier to trust when an ordinary refusal does not threaten to end it.
113|legitimate rest|A pause can be part of sustaining useful effort rather than proof that no effort is valued.
114|attentive use|A familiar landscape can continue to provide more if its limits are noticed before they are exceeded.
115|gratitude without submission|Being grateful for help should not make every later disagreement a supposed act of betrayal.
116|accountable explanation|Understanding how a mistake happened does not by itself settle the practical responsibility for it.
117|household care|The treatment of someone with few choices reveals more than the courtesy shown to an impressive guest.
118|competent help|A good intention should include learning enough not to make the recipient's situation harder.
119|private life|Personal attachments and pleasures need some deliberate room rather than whatever exhausted time remains.
120|considerate passage|The next traveler should be able to use the place without first clearing the careless traces of the last one.
121|unwasted nourishment|Food that will otherwise spoil can still meet a need while there is time to offer it.
122|useful directions|A stranger asking the way needs a route that can actually be followed, not merely a confident gesture.
123|patient reassurance|A frightened person may need time to understand an explanation before being ready to act on it.
124|modeled kindness|A child's understanding of kindness grows from the conduct seen repeatedly around ordinary inconvenience.
125|powerful humor|A powerful speaker's amusement can place the listener in the difficult position of having to appear entertained.
126|bounded disagreement|A quarrel should leave some shared activities in which the relationship can still breathe.
127|maintained friendship|An old friendship needs current attention if its familiarity is to remain more than a pleasant memory.
128|kept promises|A private commitment should not become weaker simply because nobody else heard it being made.
129|uncruel comfort|A comfort that requires someone else's humiliation is carrying a cost its owner should be willing to notice.
130|visible authorship|A craftsperson's name can preserve responsibility and credit together in the finished object.
131|honest remembrance|A family story is more trustworthy when the uncertain part is allowed to remain uncertain.
132|informed independence|A little practical understanding can make a confident deception easier to recognize before it becomes expensive.
133|consistent safety|A precaution is meant to prevent harm, not merely create an appearance when an observer is present.
134|guest privacy|An invitation into the house is not an invitation for the host to examine everything the guest carries.
135|unclaimed pursuit|A private interest can earn its place through the pleasure it gives without producing something to sell.
136|linguistic respect|Learning another person's language accepts some of the effort of meeting them halfway.
137|useful questions|A thoughtful question can help someone discover a better next step than a hurried confident instruction.
138|safe imperfection|Home should permit small mistakes and untidy moods without making each one a judgment of belonging.
139|thoughtful disagreement|A friendship can gain understanding when a real difference is considered instead of carefully concealed.
140|unburdened grief|A bereaved person should not have to perform gratitude on top of the effort of meeting the day.
141|animal commitment|An animal's needs continue after the first pleasure of acquiring it has become ordinary.
142|responsive fairness|Equal consideration can require different practical help when the people involved face different difficulties.
143|responsible succession|The work may sometimes be better served by making room for another capable person to lead it.
144|accurate credit|A remembered success should keep the other contributors visible instead of slowly gathering around one convenient name.
145|need before display|An impressive household appearance cannot make hidden hunger within it a less immediate failure of care.
146|honest refusal|An ordinary no should not need a fabricated story that creates further obligations to keep it believable.
147|unconditional gifts|A gift should not reveal an additional price only after it has been accepted with gratitude.
148|unmanipulated trust|A relationship should be judged through real conduct rather than an artificial crisis arranged to provoke a revealing mistake.
149|dignified humility|Recognizing limits can make learning possible without requiring a poor opinion of the entire person.
150|finished improvement|A small completed repair can be more useful than a repeatedly announced transformation that never begins.
151|ordinary friendship|Friends need some time that is enjoyable without being spent solving a problem or demonstrating devotion.
152|shared burden|Visible sharing makes a hard obligation less likely to disappear onto the person least able to refuse it.
153|understood obedience|A person repeating the instructed movement may still need to understand the reason that makes it useful.
154|chosen vocation|A child's eventual work should have room for abilities and wishes that the parent did not anticipate.
155|unconditional dignity|A person retains a claim to humane regard on a day when there is nothing useful they can provide.
156|attentive listening|A careful hearing can reveal an avoidable misunderstanding before it becomes a practical injury.
157|modest ambition|A privately satisfying aim does not need to become impressive to strangers before it deserves attention.
158|domestic peace|Peace becomes more credible when practiced in the small disputes of the household as well as praised elsewhere.
159|intrinsic pleasure|Something loved for itself can keep a life from becoming only an account of usefulness and obligation.
