# Category/family/index|semantic aim|personal meaning
fear/status/15|unfinished rivalry|Being forgiven could place the other person in the satisfying position of appearing above a contest still felt keenly.
secret/hard_edges/0|unadmitted envy|Public dismissal makes the private wish for the other person's advantage harder to acknowledge comfortably.
secret/hard_edges/1|rival dependence|The imagined request reverses a comparison in a way that is pleasurable before any actual bargain is considered.
secret/hard_edges/2|unclaimed time|The duty can remain publicly defended while the prospect of being released from it is privately welcome.
secret/hard_edges/3|costly appearance|Maintaining a generous reputation requires time and effort that can feel less admirable from inside the obligation.
secret/hard_edges/4|admired cunning|A clever successful maneuver can be impressive even when openly approving it would complicate the preferred moral account.
secret/hard_edges/5|unloved tradition|Enforcing the custom preserves an outward continuity that the private preference no longer fully supports.
secret/hard_edges/6|avoided burden|Another person's appointment can bring relief that is easier to feel than to explain graciously.
secret/hard_edges/7|unapologetic luxury|Public modesty leaves some private appetites with little room to be admitted without embarrassment.
secret/hard_edges/8|uncertain inheritance|A celebrated family account may contain claims that become less convincing when considered without an audience.
secret/hard_edges/9|unborrowed confidence|Confidence feels less entirely personal when it may rely on other people continuing to supply familiar deference.
secret/hard_edges/10|personal victory|The attractive ending to the quarrel is sometimes the moment of winning rather than the restoration of ease afterward.
secret/hard_edges/11|useful company|Practical usefulness can privately outweigh warmth when deciding whose presence to make room for.
secret/hard_edges/12|critic humbled|The critic's difficulty provides a satisfaction that would sound less dignified if described aloud.
secret/hard_edges/13|small privileges|A minor privilege can matter enough to make its loss felt while still seeming too small to defend without embarrassment.
secret/hard_edges/14|bounded responsibility|The next request is imagined with a private wish to decline before its actual need has even been explained.
secret/hard_edges/15|uncertain conviction|Insisting on another person's compliance can feel easier than examining how firmly the rule is privately believed.
formative/hard_edges/0|effective bargaining|The contrast made practical incentives difficult to overlook even when an appeal seemed plainly deserving.
formative/hard_edges/1|unequal consequences|The incident showed that a familiar rule could change its practical force around a useful connection.
formative/hard_edges/2|controlled attention|A withheld answer made an otherwise impatient listener remain attentive longer than an immediate explanation had.
formative/hard_edges/3|bounded generosity|The reaction showed that a generous gesture does not reliably determine the meaning another person gives it.
formative/hard_edges/4|public correction|The correction's lasting social cost remained visible after the original factual point had been settled.
formative/hard_edges/5|unpopular order|The household's recovery made it possible to see practical value in a rule that had initially attracted resentment.
formative/hard_edges/6|rewarded victory|Approval followed the outcome closely enough to make the fairness of the means seem secondary to its audience.
formative/hard_edges/7|confident appearance|The accepted bluff revealed how easily certainty of delivery can stand in for careful examination.
formative/hard_edges/8|lasting obligations|An old obligation turned out to have influence over a decision that appeared new and independent.
formative/hard_edges/9|audible rank|The different reception of the same words made standing visible in the mechanics of an ordinary conversation.
formative/hard_edges/10|independent comfort|A modest pleasure acquired a larger meaning when it no longer depended on somebody else's permission.
formative/hard_edges/11|limits of apology|The sincere apology changed the account of responsibility without immediately changing the injured person's feelings.
formative/hard_edges/12|earned rivalry|The rival's preparation made the result harder to dismiss as mere luck or inherited advantage.
formative/hard_edges/13|purchased access|The gift opened a door that a straightforward request had left closed.
formative/hard_edges/14|respected refusal|The firm refusal changed the listener's manner in a way that repeated accommodation had not.
formative/hard_edges/15|kinship protection|The family's response showed how strongly belonging could matter even when the member's fault was recognized.
jealousy/status/0|earned authority|Inherited command makes the effort spent obtaining a similar hearing feel especially visible.
jealousy/status/1|unworried spending|Another person's easy purchase highlights the calculations that usually precede the same pleasure privately.
jealousy/status/2|unearned standing|A title carrying more weight than conduct makes practical judgment seem less important than it ought to be.
jealousy/status/3|privileged exemption|The powerful friend's intervention turns an ordinary duty into something only less fortunate companions must do.
jealousy/status/4|indulgent interpretation|An arrogant manner receiving admiration highlights how differently a similar personal display might be judged.
jealousy/status/5|unquestioned admiration|The rival's surrounding approval appears to remove the tiring work of defending every doubtful choice.
jealousy/status/6|disproportionate celebration|An expensive celebration can make modest achievement look publicly larger than more demanding work elsewhere.
jealousy/status/7|comfortable wealth|The ability to seem unconcerned with money is itself an advantage that less secure means do not allow.
jealousy/status/8|permitted independence|A relative's praised defiance makes earlier demands for personal obedience feel less evenly applied.
jealousy/status/9|inexpensive generosity|The rival receives the pleasure and recognition of giving while another person bears much of its practical cost.
jealousy/status/10|protected prestige|A public mistake leaving the rival's standing intact highlights the consequences that a similar personal error might attract.
jealousy/status/11|automatic deference|A room making way before any words are spoken offers a visible kind of importance that cannot easily be requested.
jealousy/status/12|excused harshness|Calling the rival firm allows behavior that might attract a much less generous label from another source.
jealousy/status/13|protected leisure|The companion's easy free time rests on work kept conveniently out of the pleasant account of it.
jealousy/status/14|unrisked influence|The rival can benefit from a decision while remaining distant from the reputational cost if it fails.
jealousy/status/15|unconditional affection|Continued affection for someone withholding kindness makes personal efforts to remain worthy of warmth feel painfully conspicuous.
temptation/hard_edges/0|guarded advantage|Keeping the information back would preserve a difference in knowledge that could later prove useful.
temptation/hard_edges/1|accelerated repayment|Making the debt uncomfortable offers the prospect of a quicker result than another patient reminder.
temptation/hard_edges/2|rival humiliation|Ceremony supplies a respectable-looking form through which a very personal slight might be delivered.
temptation/hard_edges/3|created dependence|The generous act could leave the recipient with a continuing reason to return and comply.
temptation/hard_edges/4|avoided burden|The other person's limited freedom to refuse makes transferring the inconvenient task seem especially easy.
temptation/hard_edges/5|unfinished revenge|A public claim to have forgotten does not always remove the private appeal of making the offender feel a consequence.
temptation/hard_edges/6|convenient consent|Accepting silence as agreement would avoid hearing a reluctance that might make the next instruction uncomfortable.
temptation/hard_edges/7|demanded gratitude|Delaying help offers a way to make appreciation visible before surrendering the advantage of being needed.
temptation/hard_edges/8|exclusive credit|A simple account centered on personal achievement would be more gratifying than carefully naming everyone involved.
temptation/hard_edges/9|kinship protection|Defending the relative preserves a family alliance while postponing the uncomfortable acknowledgment of the actual fault.
temptation/hard_edges/10|profitable misfortune|The rival's difficulty presents an opportunity that may disappear if consideration is given too much time.
temptation/hard_edges/11|deterrent harshness|A severe example promises fewer later challenges, making its immediate human cost easier to push aside.
temptation/hard_edges/12|visible pleasure|A public luxury offers immediate satisfaction while the quieter obligation can remain out of sight a little longer.
temptation/hard_edges/13|concealed favoritism|An appearance of neutrality could preserve public standing while the useful ally receives the practical benefit.
temptation/hard_edges/14|one-sided security|The promise would give the household protection without requiring a matching personal concession.
temptation/hard_edges/15|controlled access|Keeping the enemy near offers the private satisfaction of deciding which approaches will be permitted or denied.
